epoch,accuracy,loss,val_accuracy,val_loss
0,0.3721519112586975,1.3772430419921875,0.6666666865348816,0.8030986189842224
1,0.5670886039733887,1.0489808320999146,0.5333333611488342,1.0764049291610718
2,0.5898734331130981,0.9466881155967712,0.5333333611488342,1.1651806831359863
3,0.6000000238418579,0.918515145778656,0.46666666865348816,1.0605146884918213
4,0.6227847933769226,0.8468265533447266,0.46666666865348816,1.2839248180389404
5,0.6582278609275818,0.7665218114852905,0.46666666865348816,1.151166558265686
6,0.7240506410598755,0.7440308928489685,0.4000000059604645,1.375013828277588
7,0.6835442781448364,0.7058858275413513,0.46666666865348816,1.1275397539138794
8,0.7063291072845459,0.6757287383079529,0.46666666865348816,1.243288278579712
9,0.7164556980133057,0.6626767516136169,0.46666666865348816,1.426434874534607
10,0.7189873456954956,0.6463593244552612,0.46666666865348816,1.2380728721618652
