epoch,accuracy,loss,val_accuracy,val_loss
0,0.5122950673103333,1.154916524887085,0.800000011920929,0.5594449639320374
1,0.6775956153869629,0.7987279295921326,0.7333333492279053,0.6712045669555664
2,0.7008196711540222,0.7383745312690735,0.6666666865348816,0.7188408970832825
3,0.7267759442329407,0.6574566960334778,0.6666666865348816,0.7689102292060852
4,0.7568305730819702,0.5937357544898987,0.800000011920929,0.6482731699943542
5,0.7390710115432739,0.6001352667808533,0.8666666746139526,0.6881705522537231
6,0.7718579173088074,0.5584638118743896,0.8666666746139526,0.6413809061050415
7,0.7950819730758667,0.5180428624153137,0.7333333492279053,0.5427591800689697
8,0.8073770403862,0.5275000929832458,0.6666666865348816,0.7529575824737549
9,0.7950819730758667,0.5233180522918701,0.6666666865348816,0.752582311630249
10,0.8032786846160889,0.5138412117958069,0.800000011920929,0.637588620185852
11,0.811475396156311,0.4743756651878357,0.800000011920929,0.7542835474014282
12,0.8155737519264221,0.4952012896537781,0.8666666746139526,0.4705890119075775
13,0.8155737519264221,0.4526887834072113,0.7333333492279053,0.7816439270973206
14,0.8483606576919556,0.41661784052848816,0.800000011920929,0.7249382138252258
15,0.8169398903846741,0.42588159441947937,0.8666666746139526,0.715992271900177
16,0.8333333134651184,0.4202991724014282,0.7333333492279053,0.6682582497596741
17,0.8333333134651184,0.42051559686660767,0.7333333492279053,0.661112904548645
18,0.8333333134651184,0.40875402092933655,0.7333333492279053,0.5699509382247925
19,0.811475396156311,0.4436129927635193,0.800000011920929,0.6971055269241333
20,0.8265027403831482,0.42094725370407104,0.7333333492279053,0.6209089159965515
21,0.8360655903816223,0.4208390414714813,0.7333333492279053,0.5612006783485413
22,0.8374316692352295,0.3848802447319031,0.7333333492279053,0.6367326378822327
